Loading repository data...
Warning: Repository 'openSUSE-Leap-42.1-Update' appears to be outdated. Consider using a different mirror or server.
Reading installed packages...

S | Name                                                   | Summary                                                                            | Type       
--+--------------------------------------------------------+------------------------------------------------------------------------------------+------------
  | GTKWave                                                | Display simulation results                                                         | application
  | Gtkam Digital Camera Browser                           | Browse and download images from an attached digital camera                         | application
i | PackageKit-gtk3-module                                 | Simple software installation management software                                   | package    
  | Syncthing GTK                                          | GUI for Syncthing                                                                  | application
i | Wireshark (GTK) Network Analyzer                       | GTK interface for wireshark network traffic analyzer                               | application
i | at-spi2-atk-gtk2                                       | Assistive Technology Service Provider Interface - GTK+ 2 Module                    | package    
  | avahi-utils-gtk                                        | GTK+ Utilities for D-BUS Service for Zeroconf and Bonjour                          | package    
  | breeze-gtk                                             | GTK+ theme matching KDE's Breeze                                                   | package    
  | breeze-gtk                                             | GTK+ theme matching KDE's Breeze                                                   | srcpackage 
i | canberra-gtk-play                                      | Portable sound event library -- Utility                                            | package    
  | canberra-gtk-play-gnome                                | Portable sound event library -- Utility                                            | package    
i | caribou-gtk-module-common                              | On-screen Keyboard for GNOME -- Common Files for GTK+ Modules                      | package    
i | caribou-gtk2-module                                    | On-screen Keyboard for GNOME -- GTK+ 2 Module                                      | package    
i | caribou-gtk3-module                                    | On-screen Keyboard for GNOME -- GTK+ 3 Module                                      | package    
i | clutter-gtk-devel                                      | GTK+ integration for Clutter - Development Files                                   | package    
i | clutter-gtk-lang                                       | Languages for package clutter-gtk                                                  | package    
  | colord-gtk                                             | System Daemon for Managing Color Devices -- GTK Integration                        | package    
i | colord-gtk-lang                                        | Languages for package colord-gtk                                                   | package    
i | fcitx-config-gtk3                                      | GTK GUI Config tool for FCITX                                                      | package    
i | fcitx-gtk2                                             | Gtk2 IM module for fcitx                                                           | package    
  | fcitx-gtk2-32bit                                       | Gtk2 IM module for fcitx                                                           | package    
i | fcitx-gtk3                                             | Gtk3 IM module for fcitx                                                           | package    
  | fcitx-gtk3-32bit                                       | Gtk3 IM module for fcitx                                                           | package    
  | freeciv-gtk3                                           | Gtk3 client for freeciv                                                            | package    
  | gcin-gtk2                                              | Gcin gtk2 immodule                                                                 | package    
